Dia,EJERCICIO,SERIES,REPS,DESC,,Video
1,Hip thrust en máquina o con barra,4,12,2min,,https://youtu.be/tV-mQaEtWbM
1,Peso muerto rumano con mancuernas,4,10,1min,,https://youtu.be/IiEp_Ydp7D0
1,Prensa declinada,4,12,2min,,https://youtu.be/wCP_yojH31E
1,Curl femoral,3,15,1min,,https://youtu.be/MAT1m23sc-E
1,Abducción en máquina,4,20,1min,,https://youtu.be/YmeJZh1-LGM
1,Patada de glúteo en polea baja,3,15,1min,,https://youtu.be/frL1ODvCZWM
1,Cardio hiit en caminadora,8 rondas,1m rápido,30s desp,,
2,Jalón en polea (agarre neutro),4,8-10,2min,,https://youtu.be/VUJYixXx5I8
2,Remo en máquina hammer (neutro),4,12,2min,,https://youtu.be/pNwf41RJcLM
2,Pull over en polea con cuerda,4,15,1min,,https://youtu.be/-UrSFw0QPHs
2,Remo unilateral con mancuerna,4,12 x lado,1min,,https://youtu.be/-85km4WXzr4
2,Curl de bíceps martillo,3,12,1min,,https://youtu.be/RoIH2uva2z4
2,Curl biceps en polea baja con cuerda,3,12,1min,,https://youtu.be/IkM-oRjbOmE
2,25min en bici a ritmo moderado,,,,,
3,Sentadilla en multipower,4,10,2min,,https://youtu.be/4r9o_rqFZX4
3,Desplantes caminando con manc,4,12 x lado,2min,,https://youtu.be/-iGRWD09Jn8
3,Extensión de cuádriceps en máquina,4,15,1min,,https://youtu.be/6RPUwWATZo0
3,Hip thrust con pausa arriba,4,12,2min,,https://youtu.be/6dzANQKnYLk
3,Step ups en banco con mancuerna,4,12 x lado,1min,,https://youtu.be/twzEjgIhrvU
3,Aducción en máquina,4,20,1min,,https://youtu.be/O7co9-r7a6M
3,15min en elíptica 40s rápido/80s lento,,,,,
4,Press inclinado con máquina,4,12,1min,,https://youtu.be/1rNGeJTlqng
4,Press Plano con máquina,4,12,1min,,https://youtu.be/xxVztNVtoSE
4,Press declinado con máquina,4,12,1min,,https://youtu.be/Hyhm-WOAa48
4,Aperturas con mancuerna,3,10,1min,,https://youtu.be/rkyLYz33ClQ
4,Extensión de tríceps con cuerda,3,12,1min,,https://youtu.be/uZg6VtRhwQY
4,Fondos asistidos,3,12,1min,,https://youtu.be/4mPcl4nExsU
4,Circuito de 100 saltos de cuerda y 100 jumping jacks,3,,,,
5,Press de hombro con manc neutra,4,12,1m,,https://youtu.be/xClA-zswSX0
5,Elevación lateral con mancuernas,4,15,1m,,https://youtu.be/SDwdFoNY780
5,Face pull en polea con cuerda,4,15,1m,,https://youtu.be/UaZPhyztYNU
5,Elevación frontal con disco,4,12,1m,,https://youtu.be/s-IHAo3OE7A
5,Elevación de piernas para abdomen,4,20,1m,,https://youtube.com/shorts/6NA99YASwd8?si=jcLv699jl3ceQ8mE
5,Bicicleta para abdomen,4,20,1m,,https://youtube.com/shorts/TvILqQEdf00?si=6CNheDFzofKftsFo
5,Plancha abdominal,4,1min,1m,,
5,20m caminadora inclinación 10%,,,,,
